Place,Area
AUSTRALIA,7688126.32
New South Wales,800810.7823
Victoria,227495.6304
Queensland,1730172.083
South Australia,984274.908
Western Australia,2526646.239
Tasmania,68017.8607
Northern Territory,1348094.328
Australian Capital Territory,2358.172
Other Territories,256.3162
Capital Region,51895.5631
Central Coast,1681.0724
Central West,70297.0604
Coffs Harbour - Grafton,13229.7578
Far West and Orana,339363.6925
Hunter Valley exc Newcastle,21491.2915
Illawarra,1538.919
Mid North Coast,18851.4995
Murray,97797.6754
New England and North West,99145.9163
Newcastle and Lake Macquarie,870.612
Richmond - Tweed,10271.1425
Riverina,56985.0189
Southern Highlands and Shoalhaven,6704.4401
Sydney - Baulkham Hills and Hawkesbury,3251.4985
Sydney - Blacktown,242.0851
Sydney - City and Inner South,65.5318
Sydney - Eastern Suburbs,57.733
Sydney - Inner South West,163.9352
Sydney - Inner West,64.5481
Sydney - North Sydney and Hornsby,275.095
Sydney - Northern Beaches,254.2074
Sydney - Outer South West,1278.4513
Sydney - Outer West and Blue Mountains,3968.129
Sydney - Parramatta,161.6358
Sydney - Ryde,69.3369
Sydney - South West,539.0686
Sydney - Sutherland,295.8652
Migratory - Offshore - Shipping (NSW),0
No usual address (NSW),0
Ballarat,10287.4759
Bendigo,11841.9062
Geelong,4428.6993
Hume,34005.5354
Latrobe - Gippsland,41553.7517
Melbourne - Inner,142.3595
Melbourne - Inner East,146.7432
Melbourne - Inner South,161.4966
Melbourne - North East,1851.2645
Melbourne - North West,1619.69
Melbourne - Outer East,1878.5576
Melbourne - South East,1922.2805
Melbourne - West,1416.354
Mornington Peninsula,853.7659
North West,78072.7365
Shepparton,10934.1051
Warrnambool and South West,26378.9085
Migratory - Offshore - Shipping (Vic.),0
No usual address (Vic.),0
Brisbane - East,653.1326
Brisbane - North,186.949
Brisbane - South,265.3446
Brisbane - West,269.6511
Brisbane Inner City,81.7394
Cairns,21337.9683
Darling Downs - Maranoa,166340.0568
Central Queensland,117588.0014
Gold Coast,1857.8854
Ipswich,6681.1469
Logan - Beaudesert,2586.1453
Mackay - Isaac - Whitsunday,90140.106
Moreton Bay - North,4344.4565
Moreton Bay - South,773.3949
Queensland - Outback,1183182.72
Sunshine Coast,3085.9114
Toowoomba,2258.7955
Townsville,80036.0977
Wide Bay,48502.5801
Migratory - Offshore - Shipping (Qld),0
No usual address (Qld),0
Adelaide - Central and Hills,1497.2718
Adelaide - North,939.9927
Adelaide - South,663.0814
Adelaide - West,159.49
Barossa - Yorke - Mid North,37716.3532
South Australia - Outback,877815.9801
South Australia - South East,65482.7388
Migratory - Offshore - Shipping (SA),0
No usual address (SA),0
Bunbury,24802.4115
Mandurah,1032.8628
Perth - Inner,92.2398
Perth - North East,1762.4316
Perth - North West,883.9992
Perth - South East,2023.9923
Perth - South West,620.696
Western Australia - Wheat Belt,197345.3766
Western Australia - Outback (North),926049.6594
Western Australia - Outback (South),1372032.57
Migratory - Offshore - Shipping (WA),0
No usual address (WA),0
Hobart,1695.3585
Launceston and North East,19975.336
South East,23822.0167
West and North West,22525.1495
